"customer_id","r_score","f_score","m_score","total_ltv","segment"
13716,4,4,4,138.28,VIP
14393,4,4,4,67.95,VIP
16610,4,4,4,75.66,VIP
16623,4,4,4,129.45,VIP
14483,4,4,4,137.10,VIP
13070,4,4,4,228.80,VIP
17995,4,4,4,76.10,VIP
17535,4,4,4,164.40,VIP
16483,4,4,4,139.35,VIP
17325,4,4,4,96.80,VIP
15160,4,4,4,158.16,VIP
13382,4,4,4,222.99,VIP
15925,4,4,4,207.15,VIP
17051,4,4,4,247.14,VIP
14247,4,4,4,136.77,VIP
16517,4,4,4,162.70,VIP
15554,4,4,4,217.20,VIP
18280,4,4,4,180.60,VIP
14586,4,4,4,237.36,VIP
16323,4,4,4,207.50,VIP
15234,4,4,4,197.00,VIP
12623,4,4,4,305.10,VIP
14280,4,4,4,134.04,VIP
14816,4,4,4,271.85,VIP
12881,4,4,4,298.00,VIP
12974,4,4,4,144.80,VIP
14373,4,4,4,76.55,VIP
14705,4,4,4,179.00,VIP
16448,4,4,4,188.89,VIP
14727,4,4,4,268.58,VIP
18086,4,4,4,101.34,VIP
14350,4,4,4,282.93,VIP
16471,4,4,4,223.95,VIP
15042,4,4,4,135.93,VIP
15895,4,4,4,179.17,VIP
17496,4,4,4,271.05,VIP
13708,4,4,4,296.88,VIP
15388,4,4,4,140.54,VIP
14962,4,4,4,126.70,VIP
16392,4,4,4,221.19,VIP
17542,4,4,4,170.75,VIP
16144,4,4,4,175.20,VIP
15705,4,4,4,143.10,VIP
13121,4,4,4,283.73,VIP
15292,4,4,4,180.94,VIP
16297,4,4,4,301.90,VIP
14647,4,4,4,243.22,VIP
13299,4,4,4,142.50,VIP
13227,4,4,4,257.70,VIP
17176,4,4,4,306.13,VIP
16976,4,4,4,251.52,VIP
13185,4,4,4,71.40,VIP
13391,4,4,4,59.80,VIP
14840,4,4,4,62.85,VIP
15019,4,4,4,266.00,VIP
14059,4,4,4,183.60,VIP
17455,4,4,4,131.70,VIP
13072,4,4,4,177.15,VIP
14041,4,4,4,141.41,VIP
12353,4,4,4,89.00,VIP
17245,4,4,4,171.45,VIP
17060,4,4,4,234.24,VIP
14066,4,4,4,152.55,VIP
15408,4,4,4,267.18,VIP
17871,4,4,4,155.90,VIP
12902,4,4,4,138.68,VIP
13667,4,4,4,305.02,VIP
17551,4,4,4,306.84,VIP
15703,4,4,4,211.50,VIP
14693,4,4,4,172.90,VIP
17556,4,4,4,157.90,VIP
14762,4,4,4,300.52,VIP
13262,4,4,4,200.29,VIP
18050,4,4,4,74.40,VIP
18224,4,4,4,158.95,VIP
17763,4,4,4,15.00,VIP
16619,4,4,4,226.21,VIP
17678,4,4,4,298.11,VIP
15437,4,4,4,200.16,VIP
12831,4,4,4,215.05,VIP
13295,4,4,4,201.20,VIP
15457,4,4,4,237.07,VIP
